text1,text2
祖德宗功千载泽,子承孙继万年春
我来黄叶村中住,君上红楼梦里寻
心田只许梅花种,钱柜毋须老九开
天佑家园，放眼醉观春意满,人崇科学，健身乐享夕阳红
持家务必勤为本,处世还须德在先
月荡闲舟游四海,花开大地艳八方
燕嘴拔琴春作序,山眉抹黛水为颜
梅心一点东风破,春意三分柳色新
虚竹幽兰生静趣,和风朗日喻天怀
一笔轻灵临水草,孤山闲隐胜梅花
木假山前怀旧柏,瑞莲池畔读遗碑
月临高阁帘无影,山吐晴岚水放光
无足无风花自笑,即只即色栋当头
黑黑龙蛇笔墨书，明明白白,纤纤虫鸟翎毛画，密密麻麻
平沙腾白鹭,老舍绽红梅
羁客独行枫叶地,寒星群闪二更天
佳节思亲，三两度气温同样暖,春宵纵酒，八九碟小菜不为多
黄寻家，空中飞得钱来，偶然耳,大禹世，天上雨将金下，罕矣哉
万顷碧波，簇拥石宝寨,一江春水，荡漾翠屏山
和风拂岸柳,暖日逗湖鱼
题墨幕低因字重,放歌音厚是功深
飘香半巷逢人问,茹苦千般仅己知
岩飞骤雨云翻石,风挟奔潮水拂天
基督里相爱,教会中同心
新命乘时兴大陆,共和此日建宏基
八方齐力，八度神舟，八音迎凤舞,九曲扬帆，九旬华诞，九域乐龙吟
千年明月落窠臼,一点灵犀悟道心
鬣奋首昂，弘法扬威四海,声雷目电，惊魂醒梦三更
共患难，将士弟兄谊,同呼吸，军民鱼水情
学问高深人敬仰,章程全面众褒扬
凭槛东歌桃叶度,临街小饮杏花春
纸上谈兵，可算雄才大略,战场亮剑，方知志士仁人
朝闻天下事,月上柳梢头
一篙点到红尘外,三笑迎来满月时
弄菊袖沾三径露,啜茗庭赏四时风
几串清风轻破浪,一身正气不沾尘
子丑寅卯辰巳午未,鼠牛虎兔龙蛇马羊
万卷古今消永日,一腔心血绎余生
一段风流原在骨,十分清瘦更无诗
赤水行舟盈酒味,清风登岸带花香
神爱世人深似海,主赐平安稳如山
空把相思酬烛泪,忍教寂寞遍诗笺
板荡忠臣，剑扬禹甸宏图展,紧随义帜，英越吕端大事明
行舟须破三千浪,报国先修第一观
卅载耕耘，不负崤函民众望,一腔心血，绘描美丽天鹅城
旭日高升，云开雾散辉宇宙,伟人远出，石破天惊震寰球
去,回
天机暗转锋铓里,人镜重开日月边
春露秋霜，时思以动,水源木本，旧德常怀
窃比于我老彭，十分中仅得一分,曰若稽古帝舜，八旬外尚有三旬
闲泛小舟怡倒影,徐穿薄雾沐朝阳
西递留情，古色古香凝古镇,东风得意，新人新事颂新春
卷帘花气入,移座鸟声喧
鹤卧松山月,龙游云海天
缠绵雨作相思调,婆娑风吟杨柳词
热汗高温化硬铁,洪炉烈火炼红心
竹径寻春，石籁无声偏入句,兰亭写意，清溪有韵尽赋诗
夸俊彦,贺娟芳
秋枫摆宴邀鸿雁,玉兔制丸陪女神
东风卷絮花香淡,圆月梳帘意境深
万缕清风拂翠柳,一江碧水照丹心
树人百载崇先圣,荣祖千秋有后昆
德耸天台盈瑞气,和如渭水载民心
春冶东风旖旌,夜深北斗阑干
蘸春入画迷新蝶,邀月填词忆故人
更深有四知，劝君莫做亏心事,家富无三代，训子休成啃老人
逢夜不愁红日去,到明自有电光来
偷香客得亏小姐,避雨人曾谢大夫
大地百花齐放,神州万象更新
敏水莲红香气远,苍坊竹翠惠风多
白鹭立平原，疑是蓝田种玉,黄莺啼别院，错闻楚馆调笙
心小能装天下事,情长可御枕边人
诗材次第娱人，炉火纯青谁练就,书法纵横绝世，水池尽黑岂生成
鬓花空照镜,眉月静横窗
千题谜语寻思苦,一席谆言受用多
青山不阻南飞雁,绿水放行北往人
邮连百业，寄物投函传盛意,政惠万民，理财聚宝载深情
穷人惯作有钱事,巧妇难为无米炊
岁月如流，厌见繁华悲往事,风霜似梦，聊将疏拙度新年
冷眼观今古，行藏三尺风云剑,萍踪寄水山，积蓄一囊草木诗
生态园林胜境,能源科技新城
野鸟啼、风絮语，劝君姑且息,山花媚、日点头，笑客不须忙
有亭翼然，占绿水十分之一,无道心止，除春风以外自多
日月光遥射,盈亏节暗移
难道聪明，耳聋眼瞎心无主,虽然残疾，志大才高著等身
胸中藏宇宙，敢为天下大难事,笔底走风雷，愿读人间未见书
月影洒地光艳，壶中倾美酒,星辰在天雨嫣，笔底出佳人
金卡载民生，刷出欢愉，贷来希望,牡丹开国运，振兴百业，造福一方
月漾杯中杯漾月,风徊砚底砚徊风
寒梅醉雪香如故,红杏出墙韵若初
圆梦天宫，万里长空观世界,冲霄火箭，一腔豪气壮中华
博弈赋诗聊遣意,调弦拂匣倍含情
把酒话三农，千家康乐杯斟福,引吭歌九域，万象和谐景闹春
万章老树千竿竹,一席茅庵百衲身
岩魄春芽碧,茶魂天井红
读熟经文精哲理,博通书史好裁篇
十载传承，与众分香赢赞誉,几回烹煮，同禅一味胜醍醐
天公添乱，天然福岛变灾岛,核漏骇人，核电大国成难国
政暖民心，美好家园春染绿,情融福地，和谐宣化富垂青
联山拓路思先进,韵海生辉灿帅星
桃李园中多肱骨,旷古斋里育栋梁
新绿小池塘，春来依旧生芳草,密翠藏吟屋，晓风萧爽韵疏松
科教兴国，法治统国，真英明国策,勤俭持家，忠厚传家，本世代家风
绿阴护夏,红叶迎秋
风雪盈裾好持赠,江天如墨我飞还
悲欢尽撒眼中泪,生死皆抛身外财
生性多疑将己害,恃才狂傲令人嫌
画里行，行画里,书中读，读书中
雪魄冰魂，一树槐花香远近,云俦春使，几只燕子掠高低
马步康庄道,羊奔锦绣程
流水淙淙纵有心,浮云飘飘终无情
福著伯权彰海宇,德昭公位耀星洲
极目云天外,放怀山水间
短喙犬,长脊牛
羞答答一幔烟云，皇姑心事深难锁,情切切半开林壑，耕作夫君远未归
法治春风扶大地,清廉暮雨满神州
笔瘦穷风月,秋实爽朗天
独有诚心驱暗昧,更无奉献付酬劳
花样翻新，人人满意,匠心独运，件件入时
燕语莺啼，春色无边醉也,风和日丽，诗心有兴勃焉
和尚索尼急色鬼,官人拜相狗奴才
日影渐长斜,茶香惊小憩
金马文章辉五马,玉堂经济展黄堂
帝德著怀柔，正朔万年颁上国,臣心表忠信，南风三日到中山
是谁泼雨洗春岸,待我牵云筑玉台
唐诗千古句,一字十年功
残联穷对付,曲意巧逢迎
春花遁迹空遗梦,秋叶妆容枉费心
起出离心，念三界苦,发回向愿，报众生恩
月下笛声声声慢,风中莲步步步娇
入境听花落,当怀剩月寒
儿时梦想成人美,老大常思童趣真
芳讯问东风，宝岛园庭梅放否,阳和舒柳色，陆台花木景同春
钓得虚名添白发,幸能病骨有孤舟
贬斥失德，雷锋标尺身前立,弘扬博爱，群众口碑心内铭
遥忆家山桑子落,时伤古渡柳枝折
水光笼草树,竹色入壶觞
风袭浪高，涛声伴奏秋蝉切,雪压枝低，梅香萦绕喜鹊忙
同窗满院情难解,友好重逢意更浓
听泉枕月风陪伴,醉柳眠花蝶附随
浅浪轻帆鸥点点,酥风暖日燕双双
心中如谷情然了,脚底抹油意趣浓
破损门窗，天命财神挤,烂漫山花，注定春风催
鮀岛起宏图，再开海上丝绸路,濠城逢盛世，重塑民间艺术乡
驷马难追君子诺,一尘不染女儿红
四望白云，青山侍座,一登高阁，心事无尘
和谐社会清平乐,美好家园满庭芳
探秘寻幽沾湿热,游山玩水染风寒
悲秋白鹤孤行远,苦雨黄蜂几度愁
芦花斜倚清清水,渔火重逢扁扁舟
花间广运娇，五彩世园多彩艺,天下长安雅，一城文化半城仙
寒衣出手，留守儿童抿嘴笑,暖语交心，执行公务带春归
烟熏夕日山村静,藤结柴扉鸡犬闲
四周观光大破费,一日看尽长安花
合力释疑，冰化岂无春晓日,共同浇灌，花开总有月圆时
金光灿烂人间境,晃朗鲜明世界观
切磋厨艺烹菰乐,赏赐宫筵敬酒欢
一泉不泯文明史,万古常开生命花
野渡云舟难驻客,空山花月不知年
风剪云，剪碎飘落滴滴雨,桨切水，切开浮出缕缕烟
冬去三山千树绿,春来四野百花香
坤旋玉局开，发展多元追远梦,雷厉金龙起，腾骧万里亮英姿
萧条帘外雨,荏苒府中情
文章须尽平常意,诗语当存狂士心
花迎喜气皆知笑,风引春心不自由
热土一方，熙来攘往成都市,晴空万里，云淡风轻得月楼
政策落实家家喜,安定团结处处春
戏水冲舟穿柳巷,浮光掠影逐苏堤
南越君王，谁知生在幽燕地,先秦副帅，人仰能擎民族旗
闲听竹枝曲,哪知锦字诗
花气一怀抱,柳风半陌收
对话民生，神州歌发展,联迎国庆，大笔写繁荣
小月清风，把酒高楼图一醉,微星骤雨，擎杯宝殿度三生
禅茶一味清心咒,武火三更满体焚
梅香千里难迷蝶,菊艳万园最动人
银河难渡缠绵意,明月能约浪漫情
对句皆玩偶,双枪老太婆
蜻蜓立夏描夏意,紫燕随春剪春枝
胜览林城，百里山河收眼底,情牵梓舍，万家忧乐注心头
归梦三更，三更归鸿声声慢,飘雪四海，四海飘絮步步高
泰山问顶云吞面,田汉弹琴道改行
万众心刻报国字,千秋史记昆仑关
九经通大义,百里有时贤
有心说事无须理,故意伤人定要罚
天宫日曜金光暖,月殿云开玉露寒
幸有文章经我读,浑无魅惑对人言
田边排立，白鹭似谙耕事苦,云外纵观，青天难解草民忧
温岭渔港随船行,寒江独钓任舟横
归心起处山失色,去意决时水噤声
谏草有千言，自信丹青能悟主,归囊止一佛，可知琴鹤亦妨人
惜时胜惜金，人人求进步,树德如树木，事事作先锋
满擂风波盈联台，众友悄悄笑,一蓑烟雨泊野渡，鱼灯隐隐红
几经坎坷不从命,一路狂奔吓死人
路人迷路，问路人闻路人,火车失火，救火车就火车
古艺传承，黄母精魂绵百代,今人造福，银棉妙品惠千家
春风轻逗桃花笑,绿水常拍月亮眠
细雨敲窗，滴滴尽是离人泪,新愁酿酒，点点皆为醉客心
秋霜有意描红叶,冷月无情葬落花
莫觅觅寻寻，锦绣韶华将逝尽,勿犹犹豫豫，火红事业待飞腾
草色花香春入味,田歌鸟语笛扬声
佑彼周室,弘我汉京
茶字草木人，人茶茶人,品者三口德，德品品德
三心二意一失手，恨留千古,十色五光四挡摊，声誉百方
八秩风云，星火燎原燃大地,千般景色，红旗映日焕新天
书山有大道,皇榜见奴才
雪飞怒放花千朵,寒尽迎来春满园
德政布寰中，四海翻腾掀巨浪,春雷鸣广宇，长空跃动舞银蛇
知白无忘守黑,成规莫若创新
久是烟霞客,唯开文字窗
风摇露竹弹清韵,雨洒光杨皱白眉
星河界里星河转,日月楼中日月长
山水无双，玄妙境中，看九峰玉椅,天人合一，内经图上，仰千古道宫
弱水柔柔，偏使群山皆拜倒,白云渺渺，却教夜月尽蒙羞
春弄双双燕,风拂冉冉云
一缕流霞追远棹,两行清泪送孤帆
一楼耸峙名华夏,百姓安宁享太平
勤探知识大海,勇攀科学高峰
细径僧归云外寺,疏镫人语酒家楼
路到穷时偏有路,花开繁后便无花
旺铺何须转让,牛皮也会穿帮
梨枝挂满农夫笑,春雨酿成骚客吟
西湖胜景，寇相苏公贻德泽,古合名城，伏波雷祖显神威
饥鸡盗稻童筒打,铨犬玩弯主拄交
溪水弄弦弹素月,天星落子定山河
死生无谓，闲对日升日落,宠辱不惊，且看云起云飞
春色弄池鱼翅绿,朝晖抹户燕头红
月洒清辉好寻梦,花沁芬芳易醉心
天下大同无处避,心间小静一时秋
雷雨惊春三月七,竹梅贺岁大年初
且观淑女成佳妇,从此奇男已丈夫
人若逞强先受累,体如偏弱早说明
意深知笔力,字稳见功夫
背后不言人所短,心中常省己之行
形影相随随日动,骚朋呼应应时来
执法如山，安全防线长相守,以人为本，生命方舟永不沉
我把春词藏柳畔,君将夏令送荷边
太极水乡，一朵牡丹倾世界,广府古城，百花芳草淹春秋
凿齿为君消患难,易牙助汝擅风流
名地产灵芝，采入药囊能益寿,群山生瑞草，炼经炉火便成丹
坐中灯泛酒,卧后幕生波
瘦瘦牛，三担骨,哈哈镜，六棱光
胜地客如潮，观景何如听景好,凡尘心似水，出山也似在山清
宗功耀人寰，兴师涿鹿金瓯固,祖德光华夏，铸鼎荆山玉镜圆
醉卧花间，一夜风流空忆梦,闲临江渚，半生浪荡尽成烟
薜萝蒙密梧桐老,竹柏阴森藻荇真
跃马堂堂，福满中华圆好梦,腾龙烈烈，祥盈大地启新春
三届启新程，岐山鸣凤情怀远,两行扬国粹，椽笔书春联墨香
目空刻鹄人，弹铗无意,身负屠龙技，游刃有余
花渐纷然人渐瘦,雨初零乱梦初长
围炉思廉邀明月,紫气瑞雪迎清风
马岁才圆中国梦,羊毫又绘小康春
耕作心田播善种,睁开眼界见晴空
堪舆不识双鱼乐,风水原来一点余
明月一楼山水活,清风十里芰荷香
烟花十载梦初觉,关山万程人未还
诗豪未敢题糕日,花宴皆因及第时
经纶满腹随心运,绢纸平铺信手书
孔府牛人丘比特,寿星彭祖华罗庚
淋漓笔下舒胸臆,缱绻花间醉梦乡
心地荒芜生杂草,皮囊精致也虚空
劝君更进一杯酒,与尔同销万古愁
天捧玉壶，共祝团圆斟四海,月摇金桂，齐将吉利送千家
月把相思留梦里,雨将寂寞洒空中
处事善良户户安，看村护院,待人公道家家敬，指路引航
羊城筑梦闻鸡起,地铁鸣春载福来
纵笔长堤春试手,横书短笛气通心
平生最爱诗和酒,青眼只看云与天
圆融理波海一味,行步事万象灿明
直面一生多不是,当官半辈也还行
万里长空翔羽鹤,十年落拓醉白衣
知心最是窗前月,莫逆何如涧边兰
雕盘贺喜开瑶席,晓月当帘挂玉弓
根深叶茂长生果,心旷神怡快乐猫
忍观花落水流去,更忆青梅竹马时
青莲一笑红尘远,世事无凭况味浓
翠馆,红楼
心境拂尘休懈怠,体形发福要勤劳
寂寂寒窗，瑶琴弹折梅花落,深深春院，纨扇滞留絮果生
桨荡平湖云引路,船行秋水月牵帆
霁月光风，但凭鸿儒施绛帐,摘星折桂，自有文气绕青云
杜康酒醉杏花雨,陆羽茶香杨柳风
祈福耍龙狮，鼓舞三门燃社火,迎新敬天地，秧歌一曲扭春风
桂月霜天金凤阁,荷塘渔火宝莲灯
堤行十里胭脂扣,舟系千绦翡翠丝
解开束缚,飞出樊笼
小试牛刀登榜首,平添虎气壮拳坛
你好伦敦，三届显荣东道主,凯旋北京，一枪高手易思玲
细雨默然草滋土,斜阳无力霞染天
露夏,望春
堂前紫燕鸣春暖,院外红梅斗雪妍
了却千年封建辱,悟得三生鹤发灰
太湖湖水映山湖,渔舟舟行唱晚舟
望海宽心愁自解,临江怅意梦难求
杨花一夜飞春雪,茶蕊几杯履夏冰
清樽映雪梅香醉,明月随人炉火红
林间拜石,山下闻钟
谐雨和风，新春韵律,青山绿水，盛世文章
龙吟凤和，合奏迎春交响曲,燕伫莺歇，共聆辞岁颤音琴
善政惠民兴百业,春风送福到千家
求师要踏八千路,长智应攻十万书
莫居前辈夸既往,当让后生耀未来
龙行沧溟灵涛赞,雨润大地谷穗香
文论精深，须要经年累月力,俊才卓越，绝非一曝十寒功
草根登擂村民对,公主出山老鬼联
一潭幽绿山竹影,满谷深红火焰花
雄鸡鸣唱千家晓,燕子飞来万户春
前进,看灯
一任春江流恨去,可怜光棍对愁眠
子贱鸣琴能治邑,貂蝉拜月为除奸
一缕花香揉入墨,十分月色醉吟诗
深山陋室春常在,古道西风日正斜
万马千军，鹏举百年中国梦,五颜六色，花开七彩太行春
凉水白水白凉水,元宵夜宵夜元宵
琳琅满目皆文墨,精粹一亭烁古今
细柳轻摇芳草地,神驹喜跃信心程
展鸿图方方顺利,创大业事事成功
迎来东浙高潮，孤塔竟穷千里目,借取西湖美誉，一屏常系万家情
竹舍烟村，此处有清箫小月,篱笆院落，当年是帚马秋千
责己,助人
雨飞燕剪千重雾,水润花开万里春
梅雪邀诗，不知春意谁先领,鹤松望月，唯叹云心我后临
不尽峰峦，自成画卷,无名花草，亦有奇芳
五光呈异彩,十色灿文章
书债未完嗟已晚,医经细读欲穷通
常叹诗中多酒气,唯因世上尽风寒
乙夜春回芳草绿,未年日暖杏花红
一缕春诗风染翠,半湖秋色月浸白
海上月明，两岸同时瞻桂影,域中业伟，九州何日整金瓯
两行雁阵两行泪,一树梅花一树金
妙策,奇才
天上惟尊月老,世间最爱梅香
观海方知心尚窄,看潮始感志须高
产奶无私甘奉献,充饥有草乐耕耘
一弯冷月勾秋绪,几缕清风入梦怀
碧梧枝头栖紫燕,红瓦檐下宿雌凰
慈水长流，菩萨智光照众苦,悲心永在，佛陀慧日证三空
深秋又见南飞雁,静水潜流谢去花
前头马去羊来接,后面猴米鸡又追
长桥飞架连南北，物流人流歌盛世,公路通达贯东西，街美城美唱大风
杯底乾坤凭酒论,书中天地任墨涂
孔疑赤鬼嘶边月,行似马骓起塞云
月醉千山云合影,诗愁四海日分身
鸡鸣九万里，九州万曲声声壮,龙舞五千年，五帝千孙代代兴
落叶飞花，干部秋天没事,来鸿去雁，青空白日有情
水云一线孤帆系,烟雨满江双鹭飞
踏春骏马春常在,携福吉羊福又添
曲径绕琼楼，湖畔清风梳柳色,深情融皓月，门前歌舞醉花香
世道轻厚禄,人间重晚晴
双峰毓英豪，椽笔生花编向导,长沙弼伟杰，楹联吐彩颂新民
霞披段氏车，长滋福水金城地,烟漫左公柳，遍度春风紫塞关
心平莫使微波起,气躁常因奢望空
收礼助人，爱心诚变味,借花献佛，善举亦堪嘉
别院小桃开放久,沿堤细柳梳妆忙
暂持清句魂犹断,新卜幽居地自偏
锦书难托山盟在,故国苦为杜宇啼
酒尤蚀骨，岂能治我相思病,茶必融心，方可消吾寂寞情
流泉入耳如天籁,春信凌风上翠微
风吹万里浮舟远,月照千家醉梦长
春野桃花开笑靥,烟堤杨柳醒青眸
惩除腐败人民喜,号召清廉社会风
宝贵童年，珍惜时光学本领,崇高志愿，放飞理想保边疆
第一创业财源旺,春风拂面气象新
一笑似春光明媚，无语也生安慰,三别将秋波暗传，有言难诉怨愁
蚕丝烛泪红尘梦,蝶粉花光俗世缘
进有提高，祥和管理昭明月,兴无顾虑，信义经营树新风
移动轻松，欣邀共赏中秋月,沟通快捷，瞬寄相思红豆情
一代司天监,千秋说梦溪
影清如许,花瘦几分
断桥烟雨千年梦,夕照雷锋万古愁
半篱绿蔓缠清韵,几路红旗建共和
雅馆拥长春，不用长绳系日,良书通妙境，更催妙笔生花
宣就二王秦晋字,笔挥六体汉唐诗
政善时明歌领袖,斌才硕德赞英贤
一飞惊落三冬雪,二汽新推四辆轮
开放创新，国强民富天天乐,闭关守旧，日损年亏户户贫
悠悠往事幽幽梦,叠叠情书喋喋言
已到海天，且作赏心东眺,得临福地，何须策马西游
衡阳雁阵传秋令,华夏农民开喜镰
顺水推舟--小动脉,横空出世--高中生
梅领群芳凭傲骨,竹生高洁靠虚心
庆语生辉佳翰墨,昌言焕彩妙诗联
清风不变诗应在,明月临来影半空
林岫遥天生晚翠,人家近水韵春红
月色沾衣拂不去,春风满座笑还生
野渡轻舟云送客,江河远影水推篙
中华发展，万国获益,大众和谐，千载伴春
文运长通，文思且如高峡水,联花再绽，联坛更上泰阶楼
惊蛰无凌丝,近日是暖春
老宅山药蛋,新贵水蛇腰
西土难留，归国钱公捐大智,东风劲起，冲天导弹震环球
檀柿梨酸标硬木,蟾娥桂兔立名牌
霜降降霜霜满地,清明明清清华园
传世句从书外得,有情人自梦中逢
八刀分贝，一贫如洗,五口吾言，出语不凡
始贵茶巡爽,齐呼月上天
溪寺黄橙熟,山亭绛叶深
自古忠言多逆耳,向来苦药也医人
轰隆乒啪，爆竹声中求喜气,赤绿黄橙，荧屏舞里接新年
老汉收竿鱼恋水,樵夫伐木马拉松
忽觉处处风声重,疑是浓浓俚语亲
柱地撑天凭傲骨,国强民富显雄心
卅载证沧桑，重开北海丝绸路,三区铺锦绣，又结东盟商贸缘
鬼斧神工双面绣,生龙活虎髭毛针
多贤惟有高阳里,世族无如大道王
替如夫人洗脚,赐同进士出身
白云不问山高矮,红叶最知秋短长
乐山乐水,明己明人
今朝纵浪踏龙宫，勇论四海之深浅,明日凌云登宝霄，敢问九天的高低
金风爽畅东篱艳,星月交辉北斗寒
送小马过河，奔向茫茫原野,助幼苗采露，生出片片森林
小事不宜多计较,要情务必细思量
西风猎猎云泼墨,黄沙滚滚马扬尘
零口供,百家求
月送绿阴斜上砌,僧归苍岭似闻钟
清风消曙意,好酒壮豪情
人重知玄，圣迹扬华夏,山崇至德，神泉洗古今
酒肉穿肠佛有怨,菩提悟道镜无台
茶德馨香，功同黄埔,国能超妙，技湛陆仙
梅岭昭苏，山花得气枝枝艳,灵源毓秀，晋水流芳岁岁春
葡萄酿美酒，一杯明月千秋史,枸杞留嘉宾，两袖清风万卷书
金龙贺岁千家暖,好雨知时五谷丰
一日小沸鱼吐沫,半夜馨香荔燕襟
秦朝副帅生河北，名追北斗,华厦先贤治岭南，功比南山
光烨烨,影叠叠
长生殿,许愿池
祖国与天地同寿,江山和日月齐辉
团龙小凤只虚语,射鸭捞虾作比邻
梦中游天姥,画里看武夷
幸有诗书相伴老,欣同梅竹好修身
远山翠百重，夏季沉朱实,上客光四座，秋月满华池
欲把江山留笔下,先将社稷挂心中
大肚能容天下,小肠难忍片言
日月情怀明似镜,林夕暮色梦如烟
春妃摆下樱桃宴,月老牵出鸳鸯绳
奇迹万千今胜昔,征程六十慨而慷
一池月影惊鱼梦,满山翠意惹鸟鸣
立九州，经沧桑，古柏比天地同寿,撑华夏，育子孙，祖德与日月齐辉
绝处但需一口气,生机却要有心人
承前启后联旗高树，光荣使命,继往开来国粹丕扬，盛世华章
好鸟如歌花解舞,冰姿照夜月无痕
老有所为，不眠改革志,退犹思进，长存报国心
水暖三清柳烟翠,荷洁四海玉露香
诗成寻酒肆,醉罢卧桃花
一江绿水成仙境,万仞高峰镇楚疆
蔡馆门前，革命先驱留辙迹,双峰山下，英雄遗泽及苍生
佳木斯成，化雨春风育栋柱,锡林袼勒，含苞野草壮羊羔
朝红连野径,叠翠沁园春
务实培才，红烛燃情萦大梦,求真育德，鳌峰揽月展雄风
千古准绳三尺法,一方明镜九州天
只用篇章为教化,不将名字挂乾坤
头枕巫山，几度风流入梦,身临易水，分明气概萦怀
竹夹桃花，君子也贪红粉女,菡萏涵碧，淑媛亦恋玲珑珠
闲看庭前秋月朗,又逢世界菊花馨
出师伐魏酬先帝,登岳封禅忆始皇
紫松树里千年鹤,清风池边五色云
梧桐泣乱潇湘雨,菡萏清来荆楚云
纸薄能承千古事,脸厚可浴四方光
鸣野白驹嗟日暮,腾空赤兔任风云
偏偏最爱吾儿小,渐渐不知月影寒
星星点点集成句,大大方方会做人
灯拴足下影,眼系台上人
执柳笔，画一湖波乱,取枫笺，书满纸秋浓
华夏千年追梦,天神万里穿针
真性知无住,春风若有情
归田难隐凌云志,避世犹怀猎艳情
寰海苍生，靡依匪母,千秋庙貌，峻极于天
灰心别放手,得意要回头
溪月披风，别有一番滋味,青山沐雨，岂无半点亮晶
满身花影人扶，试著春衫从酒伴,极目江山如画，旋呼艇子载箫声
国粹擂台，藏龙卧虎,窈窕淑女，君子好逑
雨浥甘棠春问政,风行沃野德亲民
百货聚鑫，大楼涌进九州客,三阳开泰，诚信赢来四海财
落叶如诗随客赋,人情似网赚钱难
张灯结彩红双喜,换盏推杯都一居
升平之世安康泰,细品人生苦辣甜
竹径清风盈菽果,茶坡绿浪映陶杯
江上开眼界,风雪炼精神
莫误农时，鸟催春种,深施田亩，蛙颂丰年
一杯望云醉,双鹤随我归
瘦柳多情常送客,春风不舍总牵衣
上弗人下弗人，弗人信佛,南乔木北乔木，乔木乃桥
砥节常怀君子竹,修身当效放翁梅
平日里，三尺讲台，答疑解惑,危难时，千秋身体，立地顶天
邻竹惠我三竿绿,对月岂独一点痴
雄鸡一二声，人间尽晓,瑞雪三五片，天下皆春
桥山笼月夜,沮水濯云天
供,需
因树为屋,临流赋诗
针刺窗纸，风送梅花香一线,雨湿土街，车留轮胎印两条
雾挂峰腰松揽月,风撕篱畔菊凌霜
风花雪月无风骨，何必吟风弄月,曲赋诗词有曲魂，当然谱曲填词
五羊献瑞风光美,百粤迎春日子甜
国启锦帆，善风助力,春开新面，德雨润怀
万仞苍崖悬古柏,群山深处有奇花
云悠海阔，将随视野拓心野,梦窄天宽，且把灯光续曙光
融会贯通，大俗宜人便大雅,潜移默化，中庸入世更中和
春光亮眼,丽日舒怀
丽日驱寒梅早放,春风送暖柳先舒
为酿清茶收竹雪,即喝老酒就梅香
仙雇傍岩崿,小楹俯澄鲜
异域扬名，汉邦去病单于怒,花间把酒，太白乘风宁做仙
岁月屠苏梦,神州桃李春
大容山，白云山，两山相对东西峙,圭河水，珠江水，二水潜通上下流
天现瑞云，能梢歇凤山，则通佛境,地呈仙景，再多登寸步，即入畲乡
一笔疏狂书本色,三弦寂寞话真如
花倾晓露盈香气,鸟度桃源啭好音
婵娟贻福祉,月老祝康宁
水面风吹皱,云心雨洗白
月犯少微悲处士,曲成蒿里吊名贤
目穷千里登高望,楼上一层觉远明
小雪飘如絮,穷波芥是舟
瀑挂青山云掩树,水流深谷雨缠竹
十载寄联情，王屋崤山情脉脉,两行传友谊，大河济水谊长长
蝶扰蜂探，羞得花儿红面,春残柳败，唬来燕子闹心
晓风吟罅草,谷雨叹时节
曲径三弓，庾信有园难拓地,连蜷一本，刘安入柑可留人
紫燕裁霞，剪朵窗花天上贴,雄鸡贺岁，唱支春曲世间闻
穷秀才作官，何必十分受用,活菩萨出世，总凭一点良心
雨锁山眉黛,霜侵柳鬂白
梅开诗瘾重,酒令雅风浓
绝路,沉疴
一捧清泉融小月,两支俚曲化春风
跨海横天，气吞吴越三千里,铄今震古，声誉瀛寰第一桥
志向如峰，高于万仞,公心若水，善在千秋
画圣梓乡山水秀,文豪故里谷石幽
五谷,三农
林下清幽，苍松挺拔，夕阳无限好,水旁闲适，翠柏傲岸，晚照尤其浓
风标秀举，清晖映世,道识虚远，表里融通
窗前时有闲云过,别后已无鸿信来
壶峰高耸洒春色,熟水清流映旭辉
福孙荫子源槐掖,追远慎终寻祖根
春风苏万物,旭日暖千家
威凤祥麟瞻气象,浑金璞玉具精神
花灯万盏贺华夏,菊酒千杯祝母亲
冷墨香书笔,梅花似云霞
新词数个联佳句,旧款两行伴墨缘
一杯老酒陈年事,几盏新茶叙友情
点点秋思成病句,幽幽月色冷残弦
弯腰桃树倒开花，蜜蜂仰采,探首红梅悄润雪，喜鹊闹枝
心无卑贱自高大,意若淡然伊雅芳
山窖贮天香，一分岁月一分味,陶坛连地气，十足精华十足珍
寄情诗里缝衣句,萦梦人间舔犊恩
得志平南事,扬名咏史诗
书香融雅舍,茶韵醉春风
久品茗香，一壶新绿无穷意,静观画味，几抹嫣红未了情
领军印业开新宇,先进文坛拓锦程
面俏新容，小店温馨圆我梦,头飘秀发，全身靓丽放春晖
雨打桃花香入泥,人迷情网梦怀春
有脚阳春舒柳叶,无边淑气到梅花
澄湖波濯月,绿岸雨催花
雨润桃花醉,风微燕子斜
钱物济贫，情溶冰雪寒冬暖,身心扶困，爱化风霜苦日甘
长宁始祖，以封疆启姓,伯律郎中，与海瑞齐名
平生至此已辜负,来世见君或可能
开世界大千，一撞梵钟无俗念,元恒河沙数，屡登佛阁有缘人
修身德为善,涤俗茗堪珍
小院青砖铺月色,曲栏玉笛落梅花
扇画山河，一统乾坤在手,枕堆书册，千秋圣贤并头
草书何太古,诗兴不无神
才子佳人随月老,香车宝马与时来
读圣贤书，三思有益,做仁义事，百忍无忧
把酒时看剑,焚香夜读书
兴越灭吴，显大夫手段,功成身退，见君子襟怀
大宴天下嘉宾，万种风流东道酒,同迎五洲贵客，一宵美梦故人家
雕虫踏雪自得乐,放马扬鞭东去忙
贾生十八称才子,曾过再三醒圣人
椿花萱萼联枝秀,桂子兰芽绕砌香
居山未必皆名士,共醉何须是故人
